rank,product,brand,rating,feature,rec_type,category,review
7671,아이오페 클리닉 인텐시브 스팟 샷 연고 20ml ,아모레퍼시픽,4.8, ,모든피부용,에센스,44
7672,록시땅 이모르뗄 프레셔스 세럼 30ml ,록시땅,4.8, ,모든피부용,에센스,66
7673,마몽드 퓨어 화이트 2X 이펙터 50ml ,아모레퍼시픽,4.9, 화이트닝,화이트닝,에센스,71
7674,시세이도 바이탈 퍼펙션 화이트 서큘레이터 세럼 40ml ,시세이도,5, 화이트닝,화이트닝,에센스,3
7675,달팡 탠저린 아로마틱 케어 15ml ,달팡,4.7, ,모든피부용,에센스,64
7676,메디큐브 세라마이드 퍼스트 에센스 140ml ,메디큐브,4.7, ,140ml(g),에센스,64
7677,라네즈 퍼펙트 리뉴 나이트 트리트먼트 40ml ,아모레퍼시픽,4.8, ,140ml(g),에센스,57
7678,닥터자르트 V7 스팟 이레이저 5ml(리필) ,닥터자르트,4.7, ,140ml(g),에센스,27
7679,토니모리 토니 랩 에이씨 컨트롤 핑크 딥 스팟 25ml ,토니모리,4.7, 트러블케어,모공케어,에센스,11
7680,리리코스 마린 스노우 화이트 큐어 앰플 6개 세트 ,아모레퍼시픽,4.9, 화이트닝,화이트닝,에센스,37
7681,아쿠탑 유스 컨트롤 트리트먼트 닙스 에센스 60ml ,에이씨티,4.2, ,모든피부용,에센스,6
7682,이네이처 스퀴즈 그린 워터리 세럼 40ml ,한불,4.4, ,모든피부용,에센스,19
7683,라포뮬 퓨리파잉 스킨 펜 5ml ,라보라토리스,4.7," 복합, 지복합, 지성","복합, 지복합, 지성",에센스,61
7684,에스티로더 리-뉴트리브 얼티미트 리프트 리제너레이팅 유스 세럼 30ml ,ELCA,4.5, 피부탄력,피부탄력,에센스,14
7685,수아담 시그니처 컬렉션 세럼 80ml ,서울화장품,4.9," 촉촉함(수분공급), 흡수력","저자극, 부드러운 발림, 피부강화, 안티에이징, 화이트닝, 주름케어, 유수분밸런스조절, 피부탄력, 영양공급, 모공케어",에센스,27
7686,헤라 모디 파이어 40ml ,헤라,4.4, ,모든피부용,에센스,29
7687,퓨어힐스 센텔라 90 앰플 50ml ,리봄화장품,4.6, 화이트닝,화이트닝,에센스,25
7688,메디타임 더마지움 앰플 세럼 100ml ,메디타임,4.8, 촉촉함(수분공급),"주름케어, 피부탄력, 영양공급",에센스,4
7689,수페 숲을 담은 자작나무 에센스 100ml ,비앤비코리아,5, 촉촉함(수분공급),"유수분밸런스조절, 피부탄력, 영양공급",에센스,1
7690,닥터지 에이 클리어 밸런싱 모이스처라이저 50ml ,고운세상,4.7, ,모든피부용,에센스,68
7691,콜라겐 오투엑스 세럼 40ml ,한국콜마,4.8, 피부탄력,피부탄력,에센스,123
7692,프레쉬 그린 커피 에센스 30ml ,프레쉬,4.7, 피부탄력,피부탄력,에센스,140
7693,더레브 리스토레이션 퍼펙트 세럼 (건방진 세럼) 50ml ,더레브,4.4, 화이트닝,화이트닝,에센스,87
7694,림라이프 쿠퍼펩타이드 원액 30ml ,2019.09.,4.4, 트러블케어,"주름케어, 영양공급",에센스,87
7695,VDL 스킨프로 하이드로 프렙 에센스 100ml ,엘지생활건강,5, 촉촉함(수분공급),촉촉함(수분공급),에센스,22
7696,에뛰드하우스 레드 에너지 텐션 업 파워 리프팅 에센스 45ml ,에뛰드,4.5, 화이트닝,화이트닝,에센스,14
7697,에이지투웨니스 딥 솔루션 듀얼 세럼 44ml ,애경산업,4.7, 화이트닝,화이트닝,에센스,101
7698,비오템 수르스 테라피 에센스 50ml ,비오템,4.7, 화이트닝,화이트닝,에센스,149
7699,벨비죠 마린 스파 리제너레이팅 앰플 30ml ,코바스,4.6, 촉촉함(수분공급),"피부강화, 화이트닝, 피부탄력, 영양공급",에센스,50
7700,나인위시스 유자 캡슐 에센스 30ml ,나인위시스,4.4, 촉촉함(수분공급),"유수분밸런스조절, 영양공급",에센스,16
7701,AHC 365 레드 세럼 28ml ,카버코리아,4.7, 촉촉함(수분공급),"유수분밸런스조절, 영양공급",에센스,78
