rank,product,brand_date,rating,price,category,review
124,게스 여성 기모 부츠컷 데님 팬츠 OJ4D0312 ,게스,4.6,"45,630",청바지,18
125,지오다노 브러쉬드 코튼 트윌 팬츠 419943 ,지오다노,4.6,"34,600",바지,40
126,1+1 기모 스판 무지 기본 이너 목 폴라티 ,2019.08.,4.2,"13,800",티셔츠,"3,070"
127,온앤온 와이드카라 핸드메이드 코트 NW9WH632 ,보끄레머천다이징,4.9,"283,830",코트,12
128,형광 배색 뽀글이 후드 기모 트레이닝 세트 2컬러 ,2019.11.,4.2,"26,800",트레이닝복,43
129,지컷 와이드 폭스퍼 구스다운 점퍼 7259417001 ,신세계인터네셔날,4.8,"464,390",점퍼,25
130,빈폴 폭스퍼 소피 다운 점퍼 BF9X38U015 ,삼성물산,4.9,"484,490",점퍼,12
131,14001 홀가먼트 울 라쿤 후드 니트 티셔츠 ,2019.11.,4.4,"42,500",니트/스웨터,32
132,터틀넥 루즈핏 롱 니트 목폴라 오버핏 5 color ,2019.11.,4.5,"26,000",니트/스웨터,140
133,드고떼 코지 허그 부클니트 4종 ,2019.10.,4.8,"20,410",니트/스웨터,92
134,루바브로즈 벨티드 퍼프 롱원피스 set 비비아레이디 ,2019.11.,4.3,"44,878",원피스,18
135,르오트 매직날씬핏 기모 본딩 퀼팅 팬츠 2종세트-사이즈 55 99다양 ,르오트,4.7,"6,450",바지,9
136,나인 벨벳 레이어 플리츠 스커트 SK-3673 ,바이와이제이,5,"29,262",스커트,3
137,기모 세미부츠컷 아우라진 ,2019.11.,4.4,"19,800",바지,382
138,게스 19FW 기모 앵클 스키니 OJ4D0301 ,게스,4.6,"47,490",청바지,90
139,시슬리 패널 핸드메이드 울코트 SACT41961 ,베네통,4.8,"203,870",코트,32
140,로엠 영 카라포인트 숏파카 RMJD94TG11 ,로엠,4.6,"143,100",점퍼,31
141,enc 폭스 슬림 구스 패딩 ENJD94T71Y ,엠에이치티,4.8,"190,800",점퍼,32
142,지컷 롱더블다운 7228417001 ,지컷,4.6,"359,568",점퍼,41
143,지오다노 브러쉬드 터틀넥 긴팔 티셔츠 329932 ,지오다노,4.6,"13,760",티셔츠,235
144,라우렐 퓨어 메리노울100 터틀넥 니트 2종 ,라우렐,4.8,"72,500",니트/스웨터,58
145,랩 Edition 에디션 구스롱다운 AJ4PDW50 ,랩,4.9,"77,370",점퍼,114
146,샤틴 벨티드 핸드메이드 코트 S194M702 ,샤틴,4.7,"121,690",코트,49
147,비지트인뉴욕 TV쇼핑 핸드메이드 롱코트 ,디케이앤코,4.7,"79,200",코트,36
148,J by Winter19 5대 기능성 폭스퍼 헝가리구스다운코트 ,2019.10.,4.9,"355,110",점퍼,30
149,블리그램 글랜체크누빔코트 누빔코트 겨울아우터 ,2019.11.,4.9,"27,900",코트,30
150,타미진 여성 라이트 다운 롱 코트 T31J7QCT018WT2 ,한섬,4.7,"138,600",점퍼,203
151,클라이드앤 여성 후드 시보리 롱패딩 FIDDU809F ,연승어패럴,4.5,"29,840",점퍼,195
152,온앤온 포근한 양모 핸드메이드 코트 NW9XH848 ,보끄레머천다이징,4.6,"240,280",코트,262
153,여성 후드 웰론 롱 패딩 조끼 ,2019.10.,4.5,"36,000",조끼,270
